,Nepali,Min Price,Max Price,Avg Price
Tomato Big(Nepali) (KG),गोलभेडा ठूलो(नेपाली) (के.जी.),70,80,75.00
Tomato Big(Indian) (KG),गोलभेडा ठूलो(भारतीय) (केजी),40,50,46.25
Tomato Small(Local) (KG),गोलभेडा सानो(लोकल) (के.जी.),55,65,60.00
Tomato Small(Tunnel) (KG),गोलभेडा सानो(टनेल) (के जी),65,85,75.00
Tomato Small(Indian) (KG),गोलभेडा सानो(भारतीय) (के जी),50,60,55.00
Potato Red (KG),आलु रातो (के.जी.),90,100,95.00
Potato Red(Indian) (KG),आलु रातो(भारतीय) (के जी),35,36,35.60
Potato Red(Mude) (KG),आलु रातो(मुडे) (केजी),46,50,48.00
Potato White (KG),आलु सेतो (के.जी.),65,70,68.33
Onion Dry (Indian) (KG),प्याज सुकेको (भारतीय) (के.जी.),92,96,94.00
Carrot(Local) (KG),गाजर(लोकल) (के.जी.),140,150,146.67
Carrot(Terai) (KG),गाजर(तराई) (केजी),80,90,85.00
Cabbage(Local) (KG),बन्दा(लोकल) (के.जी.),70,80,75.00
Cauli Local (KG),काउली स्थानिय (के.जी.),120,130,125.00
Raddish Red (KG),मूला रातो (के.जी.),70,80,75.00
Raddish White(Local) (KG),मूला सेतो(लोकल) (के.जी.),25,30,27.50
Raddish White(Hybrid) (KG),सेतो मूला(हाइब्रीड) (केजी),30,40,35.00
Brinjal Long (KG),भन्टा लाम्चो (के.जी.),50,60,53.33
Brinjal Round (KG),भन्टा डल्लो (के.जी.),50,60,56.67
Cow pea(Long) (KG),बोडी(तने) (के.जी.),80,90,85.00
Cowpea(Short) (KG),मकै बोडी (केजी),70,80,75.00
Green Peas (KG),मटरकोशा (के.जी.),200,250,225.00
French Bean(Local) (KG),घिउ सिमी(लोकल) (के.जी.),20,30,25.00
French Bean(Hybrid) (KG),घिउ सिमी(हाइब्रीड) (केजी),20,30,25.00
French Bean(Rajma) (KG),घिउ सिमी(राजमा) (केजी),200,250,225.00
Sword Bean (KG),टाटे सिमी (के.जी.),60,70,66.67
Bitter Gourd (KG),तितो करेला (के.जी.),80,90,86.67
Bottle Gourd (KG),लौका (के.जी.),30,40,35.00
Pointed Gourd(Local) (KG),परवर(लोकल) (के.जी.),60,70,66.67
Smooth Gourd (KG),घिरौला (के.जी.),80,90,86.67
Pumpkin (KG),फर्सी पाकेको (के.जी.),30,40,35.00
Squash(Round) (KG),हरियो फर्सी(डल्लो) (केजी),60,70,65.00
Turnip (KG),सलगम (के.जी.),70,80,76.67
Okara (KG),भिण्डी (के.जी.),60,70,66.67
Barela (KG),बरेला (के.जी.),100,120,110.00
Brd Leaf Mustard (KG),रायो साग (के.जी.),80,90,85.00
Spinach Leaf (KG),पालूगो साग (के.जी.),250,280,265.00
Mustard Leaf (KG),तोरीको साग (के.जी.),30,40,35.00
Fenugreek Leaf (KG),मेथीको साग (के.जी.),250,280,265.00
Onion Green (KG),प्याज हरियो (के.जी.),120,150,135.00
Bakula (KG),बकूला (के.जी.),140,150,145.00
Mushroom(Kanya) (KG),च्याउ(कन्य) (के.जी.),80,100,90.00
Mushroom(Button) (KG),च्याउ(डल्ले) (के जी),400,450,425.00
Asparagus (KG),कुरीलो (के.जी.),500,550,525.00
Brocauli (KG),ब्रोकाउली (के.जी.),120,150,135.00
Sugarbeet (KG),चुकुन्दर (के.जी.),70,80,75.00
Lettuce (KG),जिरीको साग (के.जी.),80,90,85.00
Celery (KG),सेलरी (के.जी.),350,400,375.00
Turnip A (KG),गान्टे मूला (के.जी.),70,80,75.00
Tamarind (KG),इमली (के.जी.),140,150,145.00
Bamboo Shoot (KG),तामा (के.जी.),90,100,96.67
Tofu (KG),तोफु (के.जी.),120,130,126.67
Apple(Fuji) (KG),स्याउ(फूजी) (के जी),320,350,335.00
Banana (Per Dozen),केरा (दर्जन),150,160,155.00
Lime (KG),कागती (के.जी.),150,180,165.00
Pomegranate (KG),अनार (के.जी.),350,400,375.00
Grapes(Black) (KG),अंगुर(कालो) (केजी),400,420,410.00
Orange(Indian) (KG),सुन्तला(भारतीय) (केजी),120,150,135.00
Water Melon(Green) (KG),तरबुजा(हरियो) (के.जी.),60,70,65.00
Sweet Orange (KG),मौसम (के.जी.),140,150,145.00
Mandarin (KG),जुनार (के.जी.),320,350,335.00
Pineapple (1 Pc),भुई कटहर (प्रति गोटा),150,180,165.00
Cucumber(Local) (KG),काक्रो(लोकल) (के.जी.),110,130,122.00
Cucumber(Hybrid) (KG),काक्रो(हाइब्रीड) (के जी),50,60,55.00
Lemon (KG),निबुवा (के.जी.),40,50,45.00
Pear(Chinese) (KG),नासपाती(चाइनिज) (केजी),220,250,235.00
Papaya(Nepali) (KG),मेवा(नेपाली) (के.जी.),50,60,55.00
Papaya(Indian) (KG),मेवा(भारतीय) (केजी),110,120,115.00
Guava (KG),अम्बा (के.जी.),80,100,90.00
Mombin (KG),लप्सी (के.जी.),50,60,56.67
Kiwi (KG),किवि (केजी),200,300,250.00
Avocado (KG),आभोकाडो (के.जी),200,300,250.00
Ginger (KG),अदुवा (के.जी.),140,160,150.00
Chilli Dry (KG),खु्र्सानी सुकेको (के.जी.),450,500,475.00
Chilli Green (KG),खु्र्सानी हरियो (के.जी.),140,150,146.67
Chilli Green(Akbare) (KG),खुर्सानी हरियो(अकबरे) (के जी),200,300,250.00
Garlic Green (KG),लसुन हरियो (के.जी.),400,450,425.00
Coriander Green (KG),हरियो धनिया (के.जी.),220,250,235.00
Garlic Dry Chinese (KG),लसुन सुकेको चाइनिज (के.जी.),240,260,250.00
Garlic Dry Nepali (KG),लसुन सुकेको नेपाली (के.जी.),280,300,290.00
Fish Fresh(Rahu) (KG),ताजा माछा(रहु) (के जी),360,370,365.00
Fish Fresh(Bachuwa) (KG),ताजा माछा(बचुवा) (के जी),260,270,265.00
Fish Fresh(Chhadi) (KG),ताजा माछा(छडी) (के जी),240,260,250.00
Fish Fresh(Mungari) (KG),ताजा माछा(मुंगरी) (के जी),230,250,240.00
