,Nepali,Min Price,Max Price,Avg Price
Capsicum (KG),भेडे खु्र्सानी (के.जी.),150,160,155.00
Garlic Green (KG),लसुन हरियो (के.जी.),400,500,450.00
Coriander Green (KG),हरियो धनिया (के.जी.),200,250,225.00
Garlic Dry Chinese (KG),लसुन सुकेको चाइनिज (के.जी.),240,250,245.00
Garlic Dry Nepali (KG),लसुन सुकेको नेपाली (के.जी.),280,300,290.00
Clive Dry (KG),छ्यापी सुकेको (के.जी.),180,200,190.00
Fish Fresh(Rahu) (KG),ताजा माछा(रहु) (के जी),360,370,365.00
Fish Fresh(Bachuwa) (KG),ताजा माछा(बचुवा) (के जी),260,270,265.00
Fish Fresh(Chhadi) (KG),ताजा माछा(छडी) (के जी),240,260,250.00
Fish Fresh(Mungari) (KG),ताजा माछा(मुंगरी) (के जी),230,250,240.00
Tree Tomato (Kg),रुख टमाटर (केजी),120,140,130.00
