,Nepali,Min Price,Max Price,Avg Price
Squash(Round) (KG),हरियो फर्सी(डल्लो) (केजी),40,50,46.67
Turnip (KG),सलगम (के.जी.),70,80,76.67
Okara (KG),भिण्डी (के.जी.),40,50,45.00
Sweet Potato (KG),सखरखण्ड (के.जी.),60,70,66.67
Barela (KG),बरेला (के.जी.),60,70,66.67
Arum (KG),पिंडालू (के.जी.),60,70,65.00
Christophine (KG),स्कूस (के.जी.),14,18,15.80
Brd Leaf Mustard (KG),रायो साग (के.जी.),70,80,76.67
Spinach Leaf (KG),पालूगो साग (के.जी.),180,200,190.00
Cress Leaf (KG),चमसूरको साग (के.जी.),150,200,175.00
Mustard Leaf (KG),तोरीको साग (के.जी.),40,50,45.00
Fenugreek Leaf (KG),मेथीको साग (के.जी.),180,200,190.00
Onion Green (KG),प्याज हरियो (के.जी.),120,150,140.00
Bakula (KG),बकूला (के.जी.),130,150,140.00
Mushroom(Kanya) (KG),च्याउ(कन्य) (के.जी.),40,70,56.00
Mushroom(Button) (KG),च्याउ(डल्ले) (के जी),280,320,300.00
Asparagus (KG),कुरीलो (के.जी.),600,650,625.00
Brocauli (KG),ब्रोकाउली (के.जी.),100,120,110.00
Sugarbeet (KG),चुकुन्दर (के.जी.),60,70,65.00
Drumstick (KG),सजिवन (के.जी.),200,220,210.00
Red Cabbbage (KG),रातो बन्दा (के.जी.),180,200,190.00
Lettuce (KG),जिरीको साग (के.जी.),80,90,85.00
Celery (KG),सेलरी (के.जी.),350,400,375.00
Fennel Leaf (KG),सौफको साग (के.जी.),180,200,190.00
Mint (KG),पुदीना (के.जी.),450,500,475.00
Turnip A (KG),गान्टे मूला (के.जी.),70,80,76.67
Tamarind (KG),इमली (के.जी.),140,150,146.67
Bamboo Shoot (KG),तामा (के.जी.),90,100,96.67
Tofu (KG),तोफु (के.जी.),120,130,126.67
Gundruk (KG),गुन्दुक (के.जी.),250,300,275.00
Apple(Jholey) (KG),स्याउ(झोले) (के.जी.),260,280,270.00
Apple(Fuji) (KG),स्याउ(फूजी) (के जी),320,350,340.00
Banana (Per Dozen),केरा (दर्जन),150,160,156.67
Lime (KG),कागती (के.जी.),140,180,160.00
Pomegranate (KG),अनार (के.जी.),400,450,425.00
Grapes(Black) (KG),अंगुर(कालो) (केजी),400,420,410.00
Orange(Indian) (KG),सुन्तला(भारतीय) (केजी),120,140,130.00
Water Melon(Green) (KG),तरबुजा(हरियो) (के.जी.),60,70,66.67
Sweet Orange (KG),मौसम (के.जी.),140,150,145.00
Mandarin (KG),जुनार (के.जी.),320,350,335.00
Pineapple (1 Pc),भुई कटहर (प्रति गोटा),150,180,165.00
Cucumber(Local) (KG),काक्रो(लोकल) (के.जी.),70,80,76.00
Cucumber(Hybrid) (KG),काक्रो(हाइब्रीड) (के जी),30,40,36.67
Lemon (KG),निबुवा (के.जी.),40,50,46.67
Pear(Chinese) (KG),नासपाती(चाइनिज) (केजी),220,250,235.00
Papaya(Nepali) (KG),मेवा(नेपाली) (के.जी.),50,60,56.67
Papaya(Indian) (KG),मेवा(भारतीय) (केजी),110,120,116.67
Guava (KG),अम्बा (के.जी.),80,100,90.00
Mombin (KG),लप्सी (के.जी.),70,80,76.67
Kiwi (KG),किवि (केजी),200,300,250.00
Avocado (KG),आभोकाडो (के.जी),200,300,250.00
Amla (KG),अमला (के.जी),60,70,66.67
Ginger (KG),अदुवा (के.जी.),140,160,150.00
Chilli Dry (KG),खु्र्सानी सुकेको (के.जी.),450,500,475.00
Chilli Green (KG),खु्र्सानी हरियो (के.जी.),90,100,96.67
Chilli Green(Bullet) (KG),खुर्सानी हरियो(बुलेट) (के जी),120,130,126.67
Chilli Green(Akbare) (KG),खुर्सानी हरियो(अकबरे) (के जी),230,300,260.00
Capsicum (KG),भेडे खु्र्सानी (के.जी.),140,150,146.67
Garlic Green (KG),लसुन हरियो (के.जी.),400,450,425.00
Coriander Green (KG),हरियो धनिया (के.जी.),200,250,230.00
Garlic Dry Chinese (KG),लसुन सुकेको चाइनिज (के.जी.),240,250,246.67
Garlic Dry Nepali (KG),लसुन सुकेको नेपाली (के.जी.),260,280,270.00
Fish Fresh(Rahu) (KG),ताजा माछा(रहु) (के जी),360,380,370.00
Fish Fresh(Bachuwa) (KG),ताजा माछा(बचुवा) (के जी),260,280,270.00
Fish Fresh(Chhadi) (KG),ताजा माछा(छडी) (के जी),240,260,250.00
Fish Fresh(Mungari) (KG),ताजा माछा(मुंगरी) (के जी),230,250,240.00
Tree Tomato (Kg),रुख टमाटर (केजी),120,140,130.00
