,Nepali,Min Price,Max Price,Avg Price
Tomato Big(Indian) (KG),गोलभेडा ठूलो(भारतीय) (केजी),40,50,44.00
Tomato Small(Local) (KG),गोलभेडा सानो(लोकल) (के.जी.),35,42,38.40
Tomato Small(Tunnel) (KG),गोलभेडा सानो(टनेल) (के जी),40,55,49.60
Tomato Small(Indian) (KG),गोलभेडा सानो(भारतीय) (के जी),35,40,37.50
Potato Red (KG),आलु रातो (के.जी.),70,75,71.67
Potato Red(Indian) (KG),आलु रातो(भारतीय) (के जी),36,40,38.00
Potato Red(Mude) (KG),आलु रातो(मुडे) (केजी),52,55,53.67
Potato White (KG),आलु सेतो (के.जी.),60,65,62.50
Onion Dry (Indian) (KG),प्याज सुकेको (भारतीय) (के.जी.),100,105,102.50
Carrot(Local) (KG),गाजर(लोकल) (के.जी.),100,110,106.67
Carrot(Terai) (KG),गाजर(तराई) (केजी),60,70,65.00
Cabbage(Local) (KG),बन्दा(लोकल) (के.जी.),70,80,76.00
Cauli Local (KG),काउली स्थानिय (के.जी.),90,100,95.00
Raddish Red (KG),मूला रातो (के.जी.),50,60,55.00
Raddish White(Local) (KG),मूला सेतो(लोकल) (के.जी.),15,20,17.50
Brinjal Long (KG),भन्टा लाम्चो (के.जी.),40,50,45.00
Cow pea(Long) (KG),बोडी(तने) (के.जी.),60,70,66.00
Cowpea(Short) (KG),मकै बोडी (केजी),70,80,75.00
Green Peas (KG),मटरकोशा (के.जी.),200,300,250.00
French Bean(Local) (KG),घिउ सिमी(लोकल) (के.जी.),20,30,26.67
French Bean(Hybrid) (KG),घिउ सिमी(हाइब्रीड) (केजी),20,30,26.67
French Bean(Rajma) (KG),घिउ सिमी(राजमा) (केजी),130,150,140.00
Sword Bean (KG),टाटे सिमी (के.जी.),70,80,76.67
Soyabean Green (KG),भटमासकोशा (के.जी.),80,90,86.67
Bitter Gourd (KG),तितो करेला (के.जी.),70,80,75.00
Bottle Gourd (KG),लौका (के.जी.),40,50,46.67
Pointed Gourd(Local) (KG),परवर(लोकल) (के.जी.),50,60,55.00
Snake Gourd (KG),चिचिण्डो (के.जी.),40,50,45.00
Smooth Gourd (KG),घिरौला (के.जी.),50,60,56.67
Pumpkin (KG),फर्सी पाकेको (के.जी.),30,40,35.00
Squash(Long) (KG),फर्सी हरियो(लाम्चो) (के.जी.),40,50,46.67
