,Nepali,Min Price,Max Price,Avg Price
Tomato Big(Indian) (KG),गोलभेडा ठूलो(भारतीय) (केजी),40,50,45.00
Tomato Small(Local) (KG),गोलभेडा सानो(लोकल) (के.जी.),25,30,27.67
Tomato Small(Tunnel) (KG),गोलभेडा सानो(टनेल) (के जी),30,40,35.00
Tomato Small(Indian) (KG),गोलभेडा सानो(भारतीय) (के जी),30,40,35.00
Potato Red (KG),आलु रातो (के.जी.),68,72,70.00
Potato Red(Indian) (KG),आलु रातो(भारतीय) (के जी),35,36,35.50
Potato Red(Mude) (KG),आलु रातो(मुडे) (केजी),54,56,54.75
Potato White (KG),आलु सेतो (के.जी.),62,65,63.67
Onion Dry (Indian) (KG),प्याज सुकेको (भारतीय) (के.जी.),105,110,107.00
Carrot(Local) (KG),गाजर(लोकल) (के.जी.),95,100,97.67
Carrot(Terai) (KG),गाजर(तराई) (केजी),70,80,75.00
Cabbage(Local) (KG),बन्दा(लोकल) (के.जी.),60,70,65.00
Cauli Local (KG),काउली स्थानिय (के.जी.),80,90,85.00
Raddish Red (KG),मूला रातो (के.जी.),50,60,55.00
Raddish White(Local) (KG),मूला सेतो(लोकल) (के.जी.),15,20,17.67
Raddish White(Hybrid) (KG),सेतो मूला(हाइब्रीड) (केजी),15,20,17.67
Brinjal Long (KG),भन्टा लाम्चो (के.जी.),20,25,22.33
Brinjal Round (KG),भन्टा डल्लो (के.जी.),40,50,45.00
Cow pea(Long) (KG),बोडी(तने) (के.जी.),70,80,75.00
Cowpea(Short) (KG),मकै बोडी (केजी),70,80,75.00
Green Peas (KG),मटरकोशा (के.जी.),200,250,226.67
French Bean(Local) (KG),घिउ सिमी(लोकल) (के.जी.),15,20,18.25
French Bean(Hybrid) (KG),घिउ सिमी(हाइब्रीड) (केजी),15,20,17.00
French Bean(Rajma) (KG),घिउ सिमी(राजमा) (केजी),120,140,130.00
Sword Bean (KG),टाटे सिमी (के.जी.),70,80,75.00
Soyabean Green (KG),भटमासकोशा (के.जी.),90,100,95.00
Bitter Gourd (KG),तितो करेला (के.जी.),80,90,85.00
Bottle Gourd (KG),लौका (के.जी.),15,20,17.67
Pointed Gourd(Local) (KG),परवर(लोकल) (के.जी.),40,50,45.00
Pointed Gourd(Terai) (KG),परवर(तराई) (केजी),40,50,45.00
Snake Gourd (KG),चिचिण्डो (के.जी.),40,50,45.00
Smooth Gourd (KG),घिरौला (के.जी.),30,40,35.00
Pumpkin (KG),फर्सी पाकेको (के.जी.),30,40,35.00
Squash(Long) (KG),फर्सी हरियो(लाम्चो) (के.जी.),40,50,45.00
Squash(Round) (KG),हरियो फर्सी(डल्लो) (केजी),30,40,35.00
Turnip (KG),सलगम (के.जी.),70,80,75.00
Okara (KG),भिण्डी (के.जी.),60,70,65.00
Sweet Potato (KG),सखरखण्ड (के.जी.),60,70,65.00
Barela (KG),बरेला (के.जी.),50,60,55.00
Arum (KG),पिंडालू (के.जी.),50,60,55.00
Christophine (KG),स्कूस (के.जी.),15,20,17.67
Brd Leaf Mustard (KG),रायो साग (के.जी.),25,35,30.00
Spinach Leaf (KG),पालूगो साग (के.जी.),220,250,235.00
Cress Leaf (KG),चमसूरको साग (के.जी.),150,180,165.00
Mustard Leaf (KG),तोरीको साग (के.जी.),30,40,35.00
Fenugreek Leaf (KG),मेथीको साग (के.जी.),200,220,210.00
Onion Green (KG),प्याज हरियो (के.जी.),120,150,133.33
Bakula (KG),बकूला (के.जी.),120,150,133.33
Mushroom(Kanya) (KG),च्याउ(कन्य) (के.जी.),50,80,63.33
Mushroom(Button) (KG),च्याउ(डल्ले) (के जी),300,350,326.67
Asparagus (KG),कुरीलो (के.जी.),600,650,625.00
Brocauli (KG),ब्रोकाउली (के.जी.),90,100,95.00
Sugarbeet (KG),चुकुन्दर (के.जी.),70,80,75.00
Drumstick (KG),सजिवन (के.जी.),200,220,210.00
Red Cabbbage (KG),रातो बन्दा (के.जी.),180,200,190.00
Lettuce (KG),जिरीको साग (के.जी.),120,130,125.00
Celery (KG),सेलरी (के.जी.),350,400,375.00
Fennel Leaf (KG),सौफको साग (के.जी.),200,220,210.00
Mint (KG),पुदीना (के.जी.),450,500,466.67
Turnip A (KG),गान्टे मूला (के.जी.),70,80,75.00
Tamarind (KG),इमली (के.जी.),140,150,145.00
Bamboo Shoot (KG),तामा (के.जी.),90,100,95.00
Tofu (KG),तोफु (के.जी.),120,130,125.00
Gundruk (KG),गुन्दुक (के.जी.),250,300,275.00
Apple(Jholey) (KG),स्याउ(झोले) (के.जी.),220,250,235.00
Apple(Fuji) (KG),स्याउ(फूजी) (के जी),320,350,335.00
Banana (Per Dozen),केरा (दर्जन),130,150,140.00
Lime (KG),कागती (के.जी.),120,160,140.00
Pomegranate (KG),अनार (के.जी.),400,450,425.00
Grapes(Black) (KG),अंगुर(कालो) (केजी),400,420,410.00
Orange(Indian) (KG),सुन्तला(भारतीय) (केजी),120,140,130.00
Water Melon(Green) (KG),तरबुजा(हरियो) (के.जी.),60,70,65.00
Mandarin (KG),जुनार (के.जी.),320,350,335.00
Pineapple (1 Pc),भुई कटहर (प्रति गोटा),150,180,165.00
