,Nepali,Min Price,Max Price,Avg Price
Tomato Big(Indian) (KG),गोलभेडा ठूलो(भारतीय) (केजी),45,50,48.00
Tomato Small(Local) (KG),गोलभेडा सानो(लोकल) (के.जी.),25,30,27.00
Tomato Small(Tunnel) (KG),गोलभेडा सानो(टनेल) (के जी),30,40,35.00
Tomato Small(Indian) (KG),गोलभेडा सानो(भारतीय) (के जी),30,40,35.00
Potato Red (KG),आलु रातो (के.जी.),62,65,63.50
Potato Red(Indian) (KG),आलु रातो(भारतीय) (के जी),36,38,37.00
Potato Red(Mude) (KG),आलु रातो(मुडे) (केजी),48,50,49.20
Potato White (KG),आलु सेतो (के.जी.),52,55,54.00
Onion Dry (Indian) (KG),प्याज सुकेको (भारतीय) (के.जी.),115,120,118.00
Carrot(Local) (KG),गाजर(लोकल) (के.जी.),90,100,95.00
Carrot(Terai) (KG),गाजर(तराई) (केजी),60,70,65.00
Cabbage(Local) (KG),बन्दा(लोकल) (के.जी.),50,60,56.00
Cauli Local (KG),काउली स्थानिय (के.जी.),50,60,55.00
Raddish Red (KG),मूला रातो (के.जी.),50,60,55.00
Raddish White(Hybrid) (KG),सेतो मूला(हाइब्रीड) (केजी),20,30,25.00
Brinjal Long (KG),भन्टा लाम्चो (के.जी.),15,25,19.00
Brinjal Round (KG),भन्टा डल्लो (के.जी.),50,60,55.00
Cow pea(Long) (KG),बोडी(तने) (के.जी.),60,70,65.00
Cowpea(Short) (KG),मकै बोडी (केजी),60,70,65.00
Green Peas (KG),मटरकोशा (के.जी.),200,250,223.33
French Bean(Local) (KG),घिउ सिमी(लोकल) (के.जी.),15,25,20.00
French Bean(Hybrid) (KG),घिउ सिमी(हाइब्रीड) (केजी),15,25,20.00
French Bean(Rajma) (KG),घिउ सिमी(राजमा) (केजी),130,140,135.00
Sword Bean (KG),टाटे सिमी (के.जी.),50,60,56.67
Soyabean Green (KG),भटमासकोशा (के.जी.),70,80,75.00
Bitter Gourd (KG),तितो करेला (के.जी.),70,80,75.00
Bottle Gourd (KG),लौका (के.जी.),20,30,26.67
Pointed Gourd(Local) (KG),परवर(लोकल) (के.जी.),50,55,52.50
Pointed Gourd(Terai) (KG),परवर(तराई) (केजी),55,60,57.50
Snake Gourd (KG),चिचिण्डो (के.जी.),30,40,35.00
Smooth Gourd (KG),घिरौला (के.जी.),30,40,35.00
Pumpkin (KG),फर्सी पाकेको (के.जी.),35,45,40.00
Squash(Long) (KG),फर्सी हरियो(लाम्चो) (के.जी.),40,50,45.00
Squash(Round) (KG),हरियो फर्सी(डल्लो) (केजी),30,40,35.00
Turnip (KG),सलगम (के.जी.),70,80,76.67
Okara (KG),भिण्डी (के.जी.),50,60,55.00
Sweet Potato (KG),सखरखण्ड (के.जी.),70,80,76.67
Barela (KG),बरेला (के.जी.),50,60,55.00
Arum (KG),पिंडालू (के.जी.),50,60,56.67
Christophine (KG),स्कूस (के.जी.),10,15,12.50
Brd Leaf Mustard (KG),रायो साग (के.जी.),20,30,25.00
Spinach Leaf (KG),पालूगो साग (के.जी.),120,150,135.00
Cress Leaf (KG),चमसूरको साग (के.जी.),50,80,62.50
Mustard Leaf (KG),तोरीको साग (के.जी.),25,30,28.33
Fenugreek Leaf (KG),मेथीको साग (के.जी.),200,220,210.00
Onion Green (KG),प्याज हरियो (के.जी.),100,120,110.00
Bakula (KG),बकूला (के.जी.),140,150,146.67
Mushroom(Kanya) (KG),च्याउ(कन्य) (के.जी.),50,70,60.00
Mushroom(Button) (KG),च्याउ(डल्ले) (के जी),320,350,332.00
Asparagus (KG),कुरीलो (के.जी.),600,650,625.00
Brocauli (KG),ब्रोकाउली (के.जी.),90,100,95.00
Sugarbeet (KG),चुकुन्दर (के.जी.),70,80,76.67
Drumstick (KG),सजिवन (के.जी.),200,220,210.00
Red Cabbbage (KG),रातो बन्दा (के.जी.),180,200,190.00
Lettuce (KG),जिरीको साग (के.जी.),80,90,85.00
Celery (KG),सेलरी (के.जी.),300,350,325.00
Fennel Leaf (KG),सौफको साग (के.जी.),120,150,135.00
Mint (KG),पुदीना (के.जी.),450,500,475.00
Turnip A (KG),गान्टे मूला (के.जी.),70,80,76.67
Tamarind (KG),इमली (के.जी.),140,150,145.00
Bamboo Shoot (KG),तामा (के.जी.),90,100,95.00
Tofu (KG),तोफु (के.जी.),120,130,126.67
Gundruk (KG),गुन्दुक (के.जी.),250,300,275.00
Apple(Jholey) (KG),स्याउ(झोले) (के.जी.),260,280,270.00
Apple(Fuji) (KG),स्याउ(फूजी) (के जी),320,350,335.00
Banana (Per Dozen),केरा (दर्जन),160,180,170.00
Lime (KG),कागती (के.जी.),120,160,140.00
Pomegranate (KG),अनार (के.जी.),400,450,425.00
Grapes(Black) (KG),अंगुर(कालो) (केजी),400,420,410.00
Orange(Indian) (KG),सुन्तला(भारतीय) (केजी),120,140,130.00
Water Melon(Green) (KG),तरबुजा(हरियो) (के.जी.),60,70,65.00
Sweet Orange (KG),मौसम (के.जी.),120,150,135.00
Mandarin (KG),जुनार (के.जी.),320,350,335.00
Pineapple (1 Pc),भुई कटहर (प्रति गोटा),150,180,165.00
Cucumber(Local) (KG),काक्रो(लोकल) (के.जी.),60,70,64.00
Cucumber(Hybrid) (KG),काक्रो(हाइब्रीड) (के जी),20,30,25.00
Lemon (KG),निबुवा (के.जी.),40,50,46.67
Pear(Chinese) (KG),नासपाती(चाइनिज) (केजी),220,250,235.00
Papaya(Indian) (KG),मेवा(भारतीय) (केजी),110,120,116.67
Guava (KG),अम्बा (के.जी.),80,100,90.00
Mombin (KG),लप्सी (के.जी.),60,70,65.00
Kiwi (KG),किवि (केजी),200,250,225.00
Avocado (KG),आभोकाडो (के.जी),200,250,225.00
Amla (KG),अमला (के.जी),60,70,65.00
Ginger (KG),अदुवा (के.जी.),150,160,156.00
Chilli Dry (KG),खु्र्सानी सुकेको (के.जी.),450,500,483.33
Chilli Green (KG),खु्र्सानी हरियो (के.जी.),80,90,85.00
Chilli Green(Bullet) (KG),खुर्सानी हरियो(बुलेट) (के जी),110,120,116.67
Chilli Green(Machhe) (KG),खुर्सानी हरियो(माछे) (के जी),90,100,96.67
Chilli Green(Akbare) (KG),खुर्सानी हरियो(अकबरे) (के जी),250,350,300.00
Capsicum (KG),भेडे खु्र्सानी (के.जी.),130,140,134.00
Garlic Green (KG),लसुन हरियो (के.जी.),250,300,275.00
Coriander Green (KG),हरियो धनिया (के.जी.),80,120,97.50
Garlic Dry Chinese (KG),लसुन सुकेको चाइनिज (के.जी.),250,260,255.00
Garlic Dry Nepali (KG),लसुन सुकेको नेपाली (के.जी.),280,300,290.00
Clive Dry (KG),छ्यापी सुकेको (के.जी.),180,200,190.00
Fish Fresh(Rahu) (KG),ताजा माछा(रहु) (के जी),360,380,370.00
Fish Fresh(Bachuwa) (KG),ताजा माछा(बचुवा) (के जी),260,280,270.00
Fish Fresh(Chhadi) (KG),ताजा माछा(छडी) (के जी),240,260,250.00
Fish Fresh(Mungari) (KG),ताजा माछा(मुंगरी) (के जी),230,250,240.00
Tree Tomato (Kg),रुख टमाटर (केजी),100,120,110.00
